Epoch,Train Loss,Validation Loss,Test Loss,Test R2,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3)
1,0.052697734955649875,0.043941859155893326,0.04641479863361879,0.2356250286102295,0.052697734955649875,8.191296959157831e-13,4.709116436945557e-11,0.00012854452249543848
2,0.03523196376763381,0.0228054792387411,0.024221581576222725,0.5827239155769348,0.03523196376763381,1.9696379330408047e-12,4.8370245268499564e-12,2.4930196323770446e-06
3,0.02341765800321644,0.021921631530858576,0.023210722275755623,0.582699179649353,0.02341765800321644,5.8395102893045355e-12,1.2967898585822598e-11,4.06456946217054e-06
4,0.02200659630554063,0.016724334738682956,0.019520367157052864,0.643441915512085,0.02200659630554063,0.0,0.0,2.889735292409509e-06
5,0.020341616063439226,0.02289045532234013,0.02686220263554291,0.5015847682952881,0.020341616063439226,0.0,2.939581855303842e-15,1.283577613014052e-05
6,0.01883966272527521,0.015530963573837653,0.017605073580687695,0.6744458675384521,0.01883966272527521,0.0,0.0,9.438935072782473e-06
7,0.016755990067182425,0.01331032015150413,0.01656748972494494,0.6820145845413208,0.016755990067182425,1.0261168442985569e-13,9.427820354918526e-13,0.00016846181446842024
8,0.01466085547702266,0.011426507728174329,0.013891402547332373,0.7631071209907532,0.01466085547702266,1.9613117893596136e-12,6.0231403819127305e-12,0.0011462902203944595
9,0.013442556772913252,0.010025960888015106,0.012111278843473305,0.7766498327255249,0.013442556772913252,2.1996538138926224e-12,4.188952305268419e-12,0.0022157168623676378
10,0.013156295663302208,0.01073898043250665,0.013342183929952707,0.7744461297988892,0.013156295663302208,1.6770374797277619e-10,5.281667586562236e-12,0.001533265216300938
11,0.011755876200781628,0.00858949011308141,0.01008641372688792,0.8202507495880127,0.011755876200781628,1.4014276895945254e-09,4.834450502574009e-10,0.004402896980557301
12,0.011481541323826297,0.008671810646774247,0.009352296294475143,0.8378410339355469,0.011481541323826297,8.790028071506124e-10,5.4692362727446405e-12,0.00466029497035346
13,0.009315963217674137,0.00920568167930469,0.01088751619681716,0.8121515512466431,0.009315963217674137,6.939556604219596e-09,9.292341859340374e-11,0.009744915201312552
14,0.009856532249212652,0.007228291651699692,0.007832668679343029,0.8659214973449707,0.009856532249212652,5.235203045392701e-09,1.0464375311845298e-11,0.007635647630815659
15,0.009660833630130275,0.01051538361934945,0.010596305089579388,0.8181135654449463,0.009660833630130275,6.068962124164016e-09,7.032792012145995e-10,0.007021687698272185
16,0.009002403486157199,0.006147716834675521,0.007365471598776904,0.8745458126068115,0.009002403486157199,8.656443218457297e-09,5.004452335057479e-10,0.008778495423506307
17,0.007700959631761947,0.007708751843892969,0.006654210981320251,0.893572986125946,0.007700959631761947,1.9060965984620175e-08,1.8104973115651208e-09,0.010688644726518218
18,0.00799357854495091,0.005780144041636959,0.007512648293579166,0.8659597635269165,0.00799357854495091,6.864614549323786e-09,1.4088030805124822e-09,0.02041930685967764
19,0.007871279260143638,0.006806226694607176,0.0068159076088870115,0.8945804834365845,0.007871279260143638,6.2603085801081114e-09,5.141412068816348e-10,0.016383104591066625
20,0.007548422217006226,0.006003445261740126,0.006901180625639178,0.8785448670387268,0.007548422217006226,1.0183058563255476e-08,9.944819719331313e-11,0.01710270509542037
21,0.007254334069885217,0.007733290840405971,0.007219170982187445,0.8873088955879211,0.007254334069885217,5.28161166396819e-09,1.34973616121283e-09,0.018973113305716615
22,0.00674517374098688,0.011750653386116028,0.011343716559084978,0.8230093717575073,0.00674517374098688,5.558710129132387e-09,7.413357227528411e-10,0.018538811900947732
23,0.007806330393128968,0.00743462769605685,0.008763681525703181,0.8299413323402405,0.007806330393128968,3.0078140308673743e-09,1.9264200628516133e-09,0.01435039448740485
24,0.006671060705194612,0.005891749824513681,0.006742427125573158,0.8702429533004761,0.006671060705194612,4.979656602484556e-09,1.1448816946128765e-09,0.019518024083031486
25,0.007796544775173261,0.005779939965577796,0.0060581638139079914,0.8940539360046387,0.007796544775173261,4.297716608722804e-09,1.125151108375749e-09,0.015123397023708686
26,0.006479724336040581,0.006698492943542078,0.007970080700364302,0.8655217885971069,0.006479724336040581,3.948492234951506e-09,2.545654807606022e-10,0.01540883420318477
27,0.006554467225592438,0.006215325789526105,0.007993560400791466,0.8559931516647339,0.006554467225592438,1.0459052282523973e-08,1.660253165873182e-09,0.02023914160802608
28,0.006313729118071981,0.005399872577982023,0.00587701801718636,0.898337185382843,0.006313729118071981,7.867975298243047e-09,3.0109582627948723e-09,0.01876043491669892
29,0.006154396081367483,0.006830130674643442,0.008024973138658837,0.8440667986869812,0.006154396081367483,3.826712733429285e-09,2.8979439033217526e-09,0.01722472244491637
30,0.007193587629680896,0.005551094800466672,0.006306899277578023,0.9017554521560669,0.007193587629680896,2.9417121254867383e-09,2.256831131567701e-10,0.023450013524704955
31,0.00629289221780544,0.004886709728452843,0.005387631911699745,0.9079343676567078,0.00629289221780544,3.5862974017612804e-09,1.145927225470796e-09,0.025519556228630533
32,0.005950252465032912,0.005081342351331841,0.004936980337581851,0.917086124420166,0.005950252465032912,3.576110726776181e-09,3.349977247864899e-10,0.02280190596307551
33,0.005982928313677768,0.005042604228947312,0.004672800783406605,0.9188795685768127,0.005982928313677768,1.5136621501388604e-09,6.061140291375005e-10,0.022674096665878767
34,0.0061420909606839545,0.0052372594946064055,0.0056445163843983955,0.9048704504966736,0.0061420909606839545,1.155397035386337e-09,5.827763690687141e-10,0.023133614001837974
35,0.005924127368534637,0.004376748940558173,0.005424408543727954,0.9058655500411987,0.005924127368534637,1.874964381870072e-09,1.037748054148412e-09,0.018457708398907566
36,0.006620616231766807,0.008046962160733528,0.008856261191381649,0.8396022319793701,0.006620616231766807,3.7161265193517206e-09,1.792342184274857e-09,0.017733670548348453
37,0.006205264156889896,0.005431424418929964,0.005789470774206248,0.8915262222290039,0.006205264156889896,5.75456844982365e-09,8.801357073337142e-11,0.020370451833659535
38,0.00675331841543462,0.004917542959447019,0.0058373890034007754,0.9030046463012695,0.00675331841543462,1.3521143919927944e-09,1.111877082586243e-09,0.017106419697641966
39,0.0055749842083662165,0.004738223651656881,0.0055254355115308,0.9030763506889343,0.0055749842083662165,5.499099744243704e-09,7.574077495381569e-10,0.026668932890527984
40,0.0060625640318620125,0.005151943623786792,0.006101091794500297,0.9052562117576599,0.0060625640318620125,2.201719138516806e-09,3.425098267693616e-09,0.02658672901486908
41,0.00538074106957715,0.004080278959008865,0.004748376700180498,0.92414790391922,0.00538074106957715,3.342571140887751e-09,2.4903052047040527e-10,0.02481092183071052
42,0.005333539936086768,0.004261422429408412,0.004369396028447558,0.9302791357040405,0.005333539936086768,4.422411164446536e-09,2.2267092297792572e-10,0.027953553313055688
43,0.005462868344764431,0.00475036540592555,0.005560184379150583,0.9061344861984253,0.005462868344764431,3.4713393937172315e-09,3.0337794959813027e-09,0.02259154513199648
44,0.005325819711902408,0.004655787619412877,0.005841206875629723,0.9005895256996155,0.005325819711902408,3.4401387214855247e-09,5.179782137634049e-10,0.02478360140260256
45,0.0049802905368896856,0.004104419880604837,0.005283682548906654,0.9133509397506714,0.0049802905368896856,2.813232118607441e-09,5.203100198195768e-10,0.025857602604877537
46,0.004749504785815423,0.0038510817830683663,0.005486210236664523,0.907418429851532,0.004749504785815423,3.3266649219873314e-09,7.976068365153686e-10,0.027883602231230004
47,0.005385705218468974,0.00713815275230445,0.007235627684911544,0.8880182504653931,0.005385705218468974,9.070295328756685e-10,2.2072188562565285e-10,0.02195681965150522
48,0.00541287845049005,0.0059566966156126,0.00704085715750063,0.893744707107544,0.00541287845049005,2.820098126726017e-09,2.650941739983394e-10,0.026370817780406883
49,0.006035613757860545,0.003946074706618674,0.0047534060537476434,0.9248382449150085,0.006035613757860545,3.411197593728358e-09,2.0230448925180232e-10,0.03137566622425095
50,0.005109114090113768,0.004588961761328392,0.004701396984852512,0.923312783241272,0.005109114090113768,1.6688502340949223e-09,6.849749847298885e-10,0.024992224165949237
51,0.005066917413942419,0.00356389310763916,0.0046083449851721525,0.9242717027664185,0.005066917413942419,2.483772244267928e-09,7.627768924207524e-10,0.028833629738228346
52,0.004688960084292505,0.007942457916215062,0.0074691895332018084,0.8908752799034119,0.004688960084292505,2.4570292993963715e-09,5.107811587976333e-10,0.026899966867662047
53,0.004711305932746595,0.0033416585210943595,0.0043475834377618,0.923566460609436,0.004711305932746595,2.4665389441767983e-09,3.4117432555258463e-09,0.030155709422264983
54,0.004680003287488377,0.0032618492550682276,0.004208422911522741,0.9286144375801086,0.004680003287488377,4.314386638000465e-09,1.0573301580366393e-09,0.03058016457169857
55,0.004568754994709577,0.004223036477924325,0.005596851427319713,0.9143708944320679,0.004568754994709577,2.3239298085319067e-09,2.1262833434974034e-09,0.031861089202535525
56,0.0052981491188530795,0.0030644678554381244,0.00442821696527641,0.9280349612236023,0.0052981491188530795,1.6587241708609546e-09,4.786703423199331e-10,0.02212975588130591
57,0.004529320291703108,0.003966159376432188,0.005482308428988538,0.8845288157463074,0.004529320291703108,2.1081708447253737e-09,1.374053553777213e-09,0.03152757805730872
58,0.004571060589575148,0.005438448642962612,0.005480285786854272,0.9141442179679871,0.004571060589575148,2.4009825908517267e-09,1.7198717264680215e-09,0.04379004192231443
59,0.004545663704176421,0.0033362310205120593,0.005014085533647713,0.9162277579307556,0.004545663704176421,1.9178238711199707e-09,4.348893540055388e-09,0.040061285385083335
60,0.004852621652814862,0.005059452945715748,0.005397421974604103,0.9177994132041931,0.004852621652814862,1.4494621971480628e-09,6.032009514252087e-10,0.03590026567463666
61,0.004474995920870018,0.003179253799316939,0.005468445110388778,0.907025933265686,0.004474995920870018,2.920388886177871e-09,2.7446386544052762e-09,0.03865155822656155
62,0.0042805416591151,0.002939406411314849,0.004947206016037275,0.9143769145011902,0.0042805416591151,2.417194233853445e-09,5.78292387646184e-10,0.041291175656453384
63,0.004249782295437989,0.0028178851862321608,0.0040839682756499815,0.9284957647323608,0.004249782295437989,1.031215044222717e-09,3.4654465338684316e-09,0.04198163365197135
64,0.00441258388734725,0.004480837735172827,0.005567087051035328,0.9097784161567688,0.00441258388734725,3.4452480793549794e-09,7.269994265701541e-10,0.02498971190067323
65,0.004492641695738806,0.004791546532942448,0.00624722442378036,0.8973042368888855,0.004492641695738806,1.7582752034139017e-09,5.6052784108544276e-09,0.04206738152778972
66,0.005115425301860873,0.00434985059837345,0.005029817080040547,0.9224810600280762,0.005115425301860873,8.662406042940184e-10,7.581030432346154e-10,0.028403752711958843
67,0.004144447674224903,0.004064048451255076,0.006026673427020962,0.8980711698532104,0.004144447674224903,4.172548884397009e-09,1.273356210281003e-09,0.0359104016501486
68,0.004153931212563116,0.004901611231616698,0.006267820548435504,0.8788701295852661,0.004153931212563116,3.3290418461500343e-09,8.800660286521239e-10,0.03253125329632583
69,0.004759957312376468,0.003973237529862672,0.004691304490816864,0.9209712147712708,0.004759957312376468,1.1488285247843203e-09,5.731444186140229e-10,0.027972015377197505
70,0.0040204319800552606,0.003992053978436161,0.004099825608798049,0.9356667399406433,0.0040204319800552606,1.5782859580268023e-09,3.1288162484624813e-09,0.0352855138687748
71,0.005015247708561456,0.004789907805388793,0.005544172176583247,0.9078748822212219,0.005015247708561456,1.363623338654096e-09,2.0750543340852637e-09,0.041692323722702165
72,0.004841647827514,0.003889478844939731,0.004804805386811495,0.9205771088600159,0.004841647827514,3.303520745876113e-09,9.028755726720741e-10,0.032884159687015926
73,0.00429476347945437,0.003310777487058658,0.0036132577383382754,0.9452627301216125,0.00429476347945437,9.68383742205376e-10,1.728618950715233e-09,0.03811225455334657
